timestamp,Battery,Humidity,Motion,Temperature
2025-09-26T08:20:17+03:00,3.087,64.2,19151.0,24.42
2025-09-26T08:29:41+03:00,3.088,64.3,19152.0,24.47
2025-09-26T11:50:17+03:00,3.086,64.9,19156.0,24.51
2025-10-03T07:23:57+03:00,3.066,62.3,62.3,26.75
2025-10-03T07:25:12+03:00,3.066,63.4,1.0,26.51
2025-10-03T07:34:17+03:00,3.066,65.1,2.0,25.64
2025-10-03T07:35:47+03:00,3.067,65.5,3.0,25.58
2025-10-03T07:37:56+03:00,3.066,65.5,4.0,25.57
2025-10-03T07:38:02+03:00,3.065,66.2,6.0,25.6
2025-10-03T07:45:27+03:00,3.065,66.3,11.0,25.42
2025-10-03T07:45:37+03:00,3.066,66.7,13.0,25.41
2025-10-03T07:48:26+03:00,3.065,67.7,16.0,25.61
2025-10-03T07:53:55+03:00,3.067,66.1,19.0,25.61
2025-10-03T08:23:54+03:00,3.067,68.9,19.0,24.93
2025-10-03T08:53:54+03:00,3.067,69.7,19.0,24.86
2025-10-03T09:03:59+03:00,3.067,70.0,19.0,24.86
2025-10-03T09:13:59+03:00,3.068,70.3,19.0,24.74
2025-10-03T09:23:59+03:00,3.065,70.8,19.0,24.65
2025-10-03T09:33:58+03:00,3.067,71.2,19.0,24.58
2025-10-03T09:43:58+03:00,3.068,71.0,19.0,24.47
2025-10-03T09:53:58+03:00,3.067,71.3,19.0,24.45
2025-10-03T10:00:29+03:00,3.068,71.2,20.0,24.45
2025-10-03T10:03:18+03:00,3.067,70.9,26.0,24.51
2025-10-03T10:03:58+03:00,3.069,71.2,45.0,24.53
2025-10-03T10:12:18+03:00,3.067,71.1,51.0,24.41
2025-10-03T10:13:58+03:00,3.068,71.4,56.0,24.37
2025-10-03T10:14:19+03:00,3.067,71.3,57.0,24.38
2025-10-03T10:17:36+03:00,3.068,71.0,76.0,24.31
2025-10-03T10:19:41+03:00,3.067,71.2,99.0,24.32
2025-10-03T10:21:43+03:00,3.069,71.5,117.0,24.31
2025-10-03T10:23:47+03:00,3.067,71.4,133.0,24.32
2025-10-03T10:23:57+03:00,3.066,62.3,0.0,26.75
2025-10-03T10:23:58+03:00,3.068,71.3,134.0,24.34
2025-10-03T10:25:12+03:00,3.066,63.4,1.0,26.51
2025-10-03T10:32:28+03:00,3.068,71.6,151.0,24.38
2025-10-03T10:33:57+03:00,3.067,71.7,155.0,24.42
2025-10-03T10:34:17+03:00,3.066,65.1,2.0,25.64
2025-10-03T10:35:47+03:00,3.067,65.5,3.0,25.58
2025-10-03T10:37:56+03:00,3.066,65.5,4.0,25.57
2025-10-03T10:38:02+03:00,3.065,66.2,6.0,25.6
2025-10-03T10:43:57+03:00,3.068,71.4,155.0,24.53
2025-10-03T10:45:27+03:00,3.065,66.3,11.0,25.42
2025-10-03T10:45:37+03:00,3.066,66.7,13.0,25.41
2025-10-03T10:48:26+03:00,3.065,67.7,16.0,25.61
2025-10-03T10:53:55+03:00,3.067,66.1,19.0,25.61
2025-10-03T10:53:57+03:00,3.068,71.4,155.0,24.55
2025-10-03T11:03:57+03:00,3.069,71.4,155.0,24.62
2025-10-03T11:13:57+03:00,3.068,71.2,155.0,24.68
2025-10-03T11:23:54+03:00,3.067,68.9,19.0,24.93
2025-10-03T11:23:57+03:00,3.068,71.1,155.0,24.74
2025-10-03T11:33:56+03:00,3.07,70.6,155.0,24.79
2025-10-03T11:43:56+03:00,3.068,70.9,155.0,24.83
2025-10-03T11:53:54+03:00,3.067,69.7,19.0,24.86
2025-10-03T11:53:56+03:00,3.069,70.4,155.0,24.86
2025-10-03T12:03:56+03:00,3.069,70.3,155.0,24.9
2025-10-03T12:03:59+03:00,3.067,70.0,19.0,24.86
2025-10-03T12:13:56+03:00,3.069,70.3,155.0,24.95
2025-10-03T12:13:59+03:00,3.068,70.3,19.0,24.74
2025-10-03T12:23:55+03:00,3.07,70.0,155.0,25.03
2025-10-03T12:23:59+03:00,3.065,70.8,19.0,24.65
2025-10-03T12:33:55+03:00,3.068,70.2,155.0,25.09
2025-10-03T12:33:58+03:00,3.067,71.2,19.0,24.58
2025-10-03T12:43:55+03:00,3.07,70.1,155.0,25.14
2025-10-03T12:43:58+03:00,3.068,71.0,19.0,24.47
2025-10-03T12:53:58+03:00,3.067,71.3,19.0,24.45
2025-10-03T13:00:29+03:00,3.068,71.2,20.0,24.45
2025-10-03T13:03:18+03:00,3.067,70.9,26.0,24.51
2025-10-03T13:03:55+03:00,3.068,69.8,155.0,25.24
2025-10-03T13:03:58+03:00,3.069,71.2,45.0,24.53
2025-10-03T13:12:18+03:00,3.067,71.1,51.0,24.41
2025-10-03T13:13:55+03:00,3.069,69.6,155.0,25.31
2025-10-03T13:13:58+03:00,3.068,71.4,56.0,24.37
2025-10-03T13:14:19+03:00,3.067,71.3,57.0,24.38
2025-10-03T13:17:36+03:00,3.068,71.0,76.0,24.31
